Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
140.82.113.21-10.157.65.13-443-53698-6,10.157.65.13,53698,140.82.113.21,443,6,31/03/2026 03:05:37 PM,1174499,18,19,16312.0,6730.0,1300.0,0.0,906.2222222222222,584.2550365314947,1280.0,0.0,354.21052631578954,523.6181368290963,19618.5777935954,31.502793957253264,32624.972222222226,78826.65552952653,256448.0,0.0,509750.0,29985.294117647056,83128.62447719551,256510.0,0.0,1174499.0,65249.944444444445,103062.72846839283,256795.0,0.0,0,0,0,0,372,416,15.325683546771858,16.177110410481404,0.0,1300.0,606.3684210526314,613.6372914534321,376550.72546230437,0,1,0,0,0,0,0,0,1.0,622.7567567567568,906.2222222222222,354.2105263157895,0,0,0,0,0,0,18,16312,19,6730,-1,100,14,0,0,0,0,0,0,0,0,0,No Label
140.82.113.21-10.157.65.13-443-53698-6,10.157.65.13,53698,140.82.113.21,443,6,31/03/2026 03:05:38 PM,29054,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,826.0480484614856,103.2560060576857,14527.0,19762.22032060163,28501.0,553.0,28501.0,28501.0,0.0,28501.0,28501.0,0,0,0,0,0,0,0,0,0,40,20,68.83733737179045,34.41866868589523,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,252,1,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-60139-6,10.157.65.13,60139,10.157.65.154,53,6,31/03/2026 03:05:39 PM,183510,5,6,31.0,196.0,29.0,0.0,6.2,12.774975538137051,195.0,0.0,32.66666666666667,79.5277729266114,1236.9898098196284,59.942237480246305,18351.0,22861.09632347301,66767.0,0.0,152258.0,38064.5,59940.448694238745,126098.0,18.0,183139.0,36627.8,29383.004078888873,66767.0,0.0,0,0,0,0,100,144,27.246471581930138,32.69576589831617,0.0,195.0,18.916666666666668,56.06564064207294,3143.356060606061,0,1,0,0,0,0,0,0,1.0,20.636363636363637,6.2,32.666666666666664,0,0,0,0,0,0,5,31,6,196,-1,128,2,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-50221-6,10.157.65.13,50221,10.157.65.154,53,6,31/03/2026 03:05:39 PM,183875,5,6,31.0,220.0,29.0,0.0,6.2,12.774975538137051,219.0,0.0,36.66666666666667,89.32562155768449,1365.0577838205302,59.82324949014276,18387.5,22859.042719579393,66767.0,0.0,152488.0,38122.0,59941.21185517245,126119.0,27.0,183319.0,36663.8,29374.53091880788,66767.0,0.0,0,0,0,0,100,144,27.192386131883072,32.63086335825969,0.0,219.0,20.916666666666668,62.92630369702083,3959.7196969696975,0,1,0,0,0,0,0,0,1.0,22.818181818181817,6.2,36.666666666666664,0,0,0,0,0,0,5,31,6,220,-1,128,2,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-62649-6,10.157.65.13,62649,10.157.65.154,53,6,31/03/2026 03:05:40 PM,143415,5,6,47.0,240.0,45.0,0.0,9.4,19.91983935678197,239.0,0.0,40.00000000000001,97.49051235889573,2001.185371125754,76.7004846076073,14341.5,25041.416552272844,67234.0,0.0,137395.0,34348.75,63986.77807888648,130212.0,34.0,143135.0,28627.0,32926.69010088928,67234.0,0.0,0,0,0,0,100,144,34.8638566398215,41.8366279677858,0.0,239.0,23.916666666666664,68.94458688400461,4753.35606060606,0,1,0,0,0,0,0,0,1.0,26.09090909090909,9.4,40.0,0,0,0,0,0,0,5,47,6,240,-1,128,2,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-64123-6,10.157.65.13,64123,10.157.65.154,53,6,31/03/2026 03:05:40 PM,143046,5,6,47.0,174.0,45.0,0.0,9.4,19.91983935678197,173.0,0.0,29.0,70.54643860606997,1544.9575660976188,76.89834039399913,14304.6,26080.597250318737,77688.0,0.0,137479.0,34369.75,63852.15314759036,130032.0,36.0,142634.0,28526.8,34254.39970573124,77688.0,0.0,0,0,0,0,100,144,34.953791088181426,41.94454930581771,0.0,173.0,18.416666666666664,50.352319317048945,2535.3560606060605,0,1,0,0,0,0,0,0,1.0,20.09090909090909,9.4,29.0,0,0,0,0,0,0,5,47,6,174,-1,128,2,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-60046-6,10.157.65.13,60046,10.157.65.154,53,6,31/03/2026 03:05:40 PM,163784,5,6,47.0,190.0,45.0,0.0,9.4,19.91983935678197,189.0,0.0,31.666666666666668,77.07831515197168,1447.0277927025838,67.16162750940262,16378.400000000001,30187.819534816797,92715.0,0.0,158000.0,39500.0,71127.56851835533,145882.0,34.0,163491.0,32698.2,40575.36979745225,92715.0,0.0,0,0,0,0,100,144,30.52801250427392,36.6336150051287,0.0,189.0,19.75,54.830524013877195,3006.3863636363635,0,1,0,0,0,0,0,0,1.0,21.545454545454547,9.4,31.666666666666668,0,0,0,0,0,0,5,47,6,190,-1,128,2,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-50274-6,10.157.65.13,50274,10.157.65.154,53,6,31/03/2026 03:05:40 PM,164083,5,6,29.0,173.0,27.0,0.0,5.8,11.882760622010357,172.0,0.0,28.833333333333336,70.13819691627856,1231.0842683276146,67.03924233467208,16408.3,26994.202208992952,77570.0,0.0,159044.0,39761.0,74414.24624805835,151262.0,31.0,163123.0,32624.6,34015.07392024894,77570.0,0.0,0,0,0,0,100,144,30.472382879396402,36.56685945527568,0.0,172.0,16.833333333333332,49.467773409166156,2447.060606060606,0,1,0,0,0,0,0,0,1.0,18.363636363636363,5.8,28.833333333333332,0,0,0,0,0,0,5,29,6,173,-1,128,2,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-57015-6,10.157.65.13,57015,10.157.65.154,53,6,31/03/2026 03:05:40 PM,164444,5,6,29.0,185.0,27.0,0.0,5.8,11.882760622010357,184.0,0.0,30.833333333333336,75.0371019340877,1301.3548685266717,66.89207268127751,16444.399999999998,26980.67205818104,77570.0,0.0,159198.0,39799.5,74446.18342803075,151342.0,25.0,163342.0,32668.4,33970.389978626976,77570.0,0.0,0,0,0,0,100,144,30.40548758239887,36.48658509887864,0.0,184.0,17.833333333333332,52.89240078315656,2797.6060606060605,0,1,0,0,0,0,0,0,1.0,19.454545454545453,5.8,30.833333333333332,0,0,0,0,0,0,5,29,6,185,-1,128,2,0,0,0,0,0,0,0,0,0,No Label
10.157.65.154-10.157.65.13-53-49710-6,10.157.65.13,49710,10.157.65.154,53,6,31/03/2026 03:05:40 PM,164878,5,6,29.0,268.0,27.0,0.0,5.8,11.882760622010357,267.0,0.0,44.66666666666667,108.92137837296526,1801.3318938851758,66.71599606982133,16487.8,26957.31663121453,77570.0,0.0,159432.0,39858.0,74452.48965167877,151400.0,55.0,163575.0,32715.0,33923.095362894,77570.0,0.0,0,0,0,0,100,144,30.325452759009693,36.39054331081163,0.0,267.0,24.75,76.67656391978878,5879.295454545455,0,1,0,0,0,0,0,0,1.0,27.0,5.8,44.666666666666664,0,0,0,0,0,0,5,29,6,268,-1,128,2,0,0,0,0,0,0,0,0,0,No Label
